[2023-05-08T12:55:47,605] [INFO ] [main] com.pickle.utility.MyLogger: Starting Pickle ...
[2023-05-08T12:55:51,614] [INFO ] [main] com.pickle.utility.MyLogger: Parsing arguments ...
[2023-05-08T12:56:45,338] [ERROR] [main] com.pickle.utility.MyLogger: Your input path is blank or empty. No input path provided
[2023-05-08T12:56:45,339] [ERROR] [main] com.pickle.utility.MyLogger: Your output path is blank or empty. No output path provided
[2023-05-08T12:56:45,340] [ERROR] [main] com.pickle.utility.MyLogger: Your input and output paths are blank or empty. No input or output path provided
[2023-05-08T12:57:41,071] [INFO ] [main] com.pickle.utility.MyLogger: Starting Pickle ...
[2023-05-08T12:57:42,201] [INFO ] [main] com.pickle.utility.MyLogger: Parsing arguments ...
[2023-05-08T12:57:54,283] [INFO ] [main] com.pickle.utility.MyLogger: INPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T12:57:54,680] [INFO ] [main] com.pickle.utility.MyLogger: OUTPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T13:00:25,468] [INFO ] [main] com.pickle.utility.MyLogger: YAML
[2023-05-08T13:00:25,469] [INFO ] [main] com.pickle.utility.MyLogger: YAML
[2023-05-08T13:00:44,271] [INFO ] [main] com.pickle.utility.MyLogger: Starting Pickle ...
[2023-05-08T13:00:44,278] [INFO ] [main] com.pickle.utility.MyLogger: Parsing arguments ...
[2023-05-08T13:00:44,282] [INFO ] [main] com.pickle.utility.MyLogger: INPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T13:00:44,282] [INFO ] [main] com.pickle.utility.MyLogger: OUTPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T13:02:48,871] [INFO ] [main] com.pickle.utility.MyLogger: Starting Pickle ...
[2023-05-08T13:02:48,878] [INFO ] [main] com.pickle.utility.MyLogger: Parsing arguments ...
[2023-05-08T13:02:48,883] [INFO ] [main] com.pickle.utility.MyLogger: INPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T13:02:48,883] [INFO ] [main] com.pickle.utility.MyLogger: OUTPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T13:02:51,633] [INFO ] [main] com.pickle.utility.MyLogger: FILE NAME: test1.yaml
[2023-05-08T13:02:51,634] [INFO ] [main] com.pickle.utility.MyLogger: FILE PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml\test1.yaml
[2023-05-08T13:02:51,634] [INFO ] [main] com.pickle.utility.MyLogger: FILE NAME: test2.yaml
[2023-05-08T13:02:51,634] [INFO ] [main] com.pickle.utility.MyLogger: FILE PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml\test2.yaml
[2023-05-08T13:05:59,412] [INFO ] [main] com.pickle.utility.MyLogger: Starting Pickle ...
[2023-05-08T13:05:59,420] [INFO ] [main] com.pickle.utility.MyLogger: Parsing arguments ...
[2023-05-08T13:05:59,424] [INFO ] [main] com.pickle.utility.MyLogger: INPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T13:05:59,424] [INFO ] [main] com.pickle.utility.MyLogger: OUTPUT PATH: C:\Users\hp\IdeaProjects\pickle-framework\src\test\java\files\yaml
[2023-05-08T13:06:00,654] [INFO ] [main] com.pickle.utility.MyLogger: Parsing file: test1.yaml
[2023-05-08T13:06:00,659] [INFO ] [main] com.pickle.utility.MyLogger: INPUT FILE EXTENSION: YAML
[2023-05-08T13:28:41,042] [INFO ] [main] com.pickle.utility.MyLogger: Starting Pickle ...
